Athlete Name,Year,Event,Score,Created At,Updated At
"James Lema","2024-2025","2025 Shiai",15,"2025-08-31T02:32:58.41085+00:00","2025-08-31T02:32:58.41085+00:00"
"Jadon Spriggs","2024-2025","2024 Kata Classic",25,"2025-08-31T02:32:58.211303+00:00","2025-08-31T02:32:58.211303+00:00"
"Jacob Cabrera","2024-2025","2025 Shiai",5,"2025-08-31T02:32:57.864801+00:00","2025-08-31T02:32:57.864801+00:00"
"Inara Todd","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:32:57.656496+00:00","2025-08-31T02:32:57.656496+00:00"
"Inara Todd","2024-2025","2025 Shiai",15,"2025-08-31T02:32:57.567822+00:00","2025-08-31T02:32:57.567822+00:00"
"Inara Todd","2024-2025","2024 Kazumi open",15,"2025-08-31T02:32:57.453141+00:00","2025-08-31T02:32:57.453141+00:00"
"Giovanni Vianello","2024-2025","2025 Lepercq Memorial",25,"2025-08-31T02:32:57.168332+00:00","2025-08-31T02:32:57.168332+00:00"
"Giovanni Vianello","2024-2025","2025 Shiai",5,"2025-08-31T02:32:57.074783+00:00","2025-08-31T02:32:57.074783+00:00"
"Giovanni Vianello","2024-2025","2024 Kata Classic",10,"2025-08-31T02:32:56.979735+00:00","2025-08-31T02:32:56.979735+00:00"
"Gavin Cabrera","2024-2025","2025 Shiai",10,"2025-08-31T02:32:56.685484+00:00","2025-08-31T02:32:56.685484+00:00"
"Ethan White","2024-2025","2025 Lepercq Memorial",20,"2025-08-31T02:32:56.483033+00:00","2025-08-31T02:32:56.483033+00:00"
"Ethan White","2024-2025","2024 Kazumi open",30,"2025-08-31T02:32:56.37856+00:00","2025-08-31T02:32:56.37856+00:00"
"Ethan White","2024-2025","2024 Kata Classic",15,"2025-08-31T02:32:56.277241+00:00","2025-08-31T02:32:56.277241+00:00"
"Dylan Flanagan","2024-2025","2025 Lepercq Memorial",2,"2025-08-31T02:32:55.972379+00:00","2025-08-31T02:32:55.972379+00:00"
